name,longitude,latitude,issues,prov,key,scientificName,datasetKey,publishingOrgKey,installationKey,publishingCountry,protocol,lastCrawled,lastParsed,crawlId,hostingOrganizationKey,basisOfRecord,occurrenceStatus,taxonKey,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,acceptedTaxonKey,acceptedScientificName,kingdom,phylum,order,family,genus,species,genericName,specificEpithet,taxonRank,taxonomicStatus,iucnRedListCategory,dateIdentified,coordinateUncertaintyInMeters,stateProvince,year,month,day,eventDate,modified,lastInterpreted,references,license,isInCluster,geodeticDatum,class,countryCode,country,rightsHolder,identifier,http://unknown.org/nick,informationWithheld,verbatimEventDate,datasetName,collectionCode,verbatimLocality,gbifID,occurrenceID,taxonID,catalogNumber,recordedBy,institutionCode,eventTime,identifiedBy,identificationID,lifeStage,occurrenceRemarks,networkKeys,sex,establishmentMeans,continent,institutionKey,associatedOccurrences,institutionID,dynamicProperties,county,identificationVerificationStatus,eventRemarks,language,type,preparations,locationAccordingTo,locationRemarks,georeferencedDate,higherGeography,nomenclaturalCode,georeferencedBy,georeferenceProtocol,georeferenceVerificationStatus,endDayOfYear,locality,otherCatalogNumbers,organismID,previousIdentifications,identificationQualifier,samplingProtocol,accessRights,higherClassification,collectionID,georeferenceSources,taxonConceptID,associatedSequences,verbatimCoordinateSystem
"Panthera uncia (Schreber, 1775)",75.537417,35.341713,cdround,gbif,3384796893,"Panthera uncia (Schreber, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:09:39.819+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5787213,1,44,359,732,9703,2435237,2435238,2435238,"Uncia uncia (Schreber, 1775)",Animalia,Chordata,Carnivora,Felidae,Uncia,Uncia uncia,Panthera,uncia,SPECIES,SYNONYM,VU,2021-10-01T03:31:39,28706,Northern Areas,2021,8,21,2021-08-21,2021-11-22T22:23:53.000+00:00,2021-12-08T05:09:39.819+00:00,https://www.inaturalist.org/observations/96753226,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,PK,Pakistan,Ahmad Hassan,96753226,naturalisthassan,Coordinate uncertainty increased to 28706m to protect threatened taxon,2021/08/21 8:30 PM PDT,iNaturalist research-grade observations,Observations,"Northern Areas, PK-NA-NA, PK",3384796893,https://www.inaturalist.org/observations/96753226,74831,96753226,Ahmad Hassan,iNaturalist,03:30:00Z,Ahmad Hassan,210776017,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panthera uncia (Schreber, 1775)",78.151537,32.332143,cdround,gbif,2609181526,"Panthera uncia (Schreber, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T04:59:46.900+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5787213,1,44,359,732,9703,2435237,2435238,2435238,"Uncia uncia (Schreber, 1775)",Animalia,Chordata,Carnivora,Felidae,Uncia,Uncia uncia,Panthera,uncia,SPECIES,SYNONYM,VU,2020-04-20T20:48:00,29120,Himachal Pradesh,2020,2,23,2020-02-23,2021-03-01T00:03:02.000+00:00,2021-12-08T04:59:46.900+00:00,https://www.inaturalist.org/observations/42700693,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,IN,India,romainbaujard,42700693,romainbaujard,Coordinate uncertainty increased to 29120m to protect threatened taxon,Sun Feb 23 2020 09:02:58 GMT+0100 (GMT+1),iNaturalist research-grade observations,Observations,"Lahul & Spiti, IN-HP, IN",2609181526,https://www.inaturalist.org/observations/42700693,74831,42700693,romainbaujard,iNaturalist,08:02:58Z,romainbaujard,96598947,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panthera uncia (Schreber, 1775)",77.098265,34.314938,cdround,gbif,3070413702,"Panthera uncia (Schreber, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:01:49.652+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5787213,1,44,359,732,9703,2435237,2435238,2435238,"Uncia uncia (Schreber, 1775)",Animalia,Chordata,Carnivora,Felidae,Uncia,Uncia uncia,Panthera,uncia,SPECIES,SYNONYM,VU,2021-03-31T14:39:02,28846,Jammu and Kashmir,2020,2,4,2020-02-04,2021-07-24T05:55:58.000+00:00,2021-12-08T05:01:49.652+00:00,https://www.inaturalist.org/observations/72528630,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,IN,India,boukelolkema,72528630,boukelolkema,Coordinate uncertainty increased to 28846m to protect threatened taxon,2020/02/04 2:22 PM UTC,iNaturalist research-grade observations,Observations,"Leh (Ladakh), IN-JK, IN",3070413702,https://www.inaturalist.org/observations/72528630,74831,72528630,boukelolkema,iNaturalist,14:22:00Z,boukelolkema,162495111,Adult,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panthera uncia (Schreber, 1775)",85.525897,43.95106,cdround,gbif,2597776837,"Panthera uncia (Schreber, 1775)",50c9509d-22c7-4a22-a47d-8c48425ef4a7,28eb1a3f-1c15-4a95-931a-4af90ecb574d,997448a8-f762-11e1-a439-00145eb45e9a,US,DWC_ARCHIVE,2021-12-08T02:36:09.159+00:00,2021-12-08T05:47:39.835+00:00,290,28eb1a3f-1c15-4a95-931a-4af90ecb574d,HUMAN_OBSERVATION,PRESENT,5787213,1,44,359,732,9703,2435237,2435238,2435238,"Uncia uncia (Schreber, 1775)",Animalia,Chordata,Carnivora,Felidae,Uncia,Uncia uncia,Panthera,uncia,SPECIES,SYNONYM,VU,2020-04-08T08:08:39,27411,Xinjiang Uygur,2020,3,26,2020-03-26,2021-02-09T01:21:06.000+00:00,2021-12-08T05:47:39.835+00:00,https://www.inaturalist.org/observations/41672138,http://creativecommons.org/licenses/by-nc/4.0/legalcode,FALSE,WGS84,Mammalia,CN,China,andriy,41672138,andriy,Coordinate uncertainty increased to 27411m at the request of the observer,2020/03/26 9:16 PM CST,iNaturalist research-grade observations,Observations,"Tacheng, CN-XJ, CN",2597776837,https://www.inaturalist.org/observations/41672138,74831,41672138,andriy,iNaturalist,13:16:00Z,andriy,94285386,Adult,"A young individual, 5-6 years old, approaches a grey marmot burrow. Altitude 1816 m. Camera trap installed, maintained and collected by Wild Shihezi (野性石河子).",,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panthera uncia (Schreber, 1775)",-106.663485,35.078382,"gass84,colmano,inmafu",gbif,3125629331,"Panthera uncia (Schreber, 1775)",b15d4952-7d20-46f1-8a3e-556a512b04c5,939ed180-aa7b-11db-8edf-b8a03c50a862,a957a663-2f17-415f-b1c8-5cf6398df8ed,US,DWC_ARCHIVE,2021-12-22T00:55:40.077+00:00,2021-12-22T01:02:30.094+00:00,284,2053a639-84c3-4be5-b8bc-96b6d88a976c,PRESERVED_SPECIMEN,PRESENT,5787213,1,44,359,732,9703,2435237,2435238,2435238,"Uncia uncia (Schreber, 1775)",Animalia,Chordata,Carnivora,Felidae,Uncia,Uncia uncia,Panthera,uncia,SPECIES,SYNONYM,VU,2021-05-02T00:00:00,500,New Mexico,2019,3,21,2019-03-21,2021-11-19T13:33:14.310+00:00,2021-12-22T01:02:30.094+00:00,http://arctos.database.museum/guid/MSB:Mamm:334822,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,NA,http://arctos.database.museum/guid/MSB:Mamm:334822?seid=5066453,NA,NA,3/21/19,NA,http://arctos.database.museum/collection/MSB:Mamm,"Albuquerque BioPark Zoo, Albuquerque",3125629331,http://arctos.database.museum/guid/MSB:Mamm:334822?seid=5066453,NA,MSB:Mamm:334822,"Collector(s): ABQ BioPark; Preparator(s): Museum of Southwestern Biology, Division of Genomic Resources",MSB,2019-03-21,ABQ BioPark,NA,NA,NA,,MALE,MANAGED,NORTH_AMERICA,8827b228-5892-444f-9ce9-f1e1d97ed133,(same individual as) GAN MIG12-9428102,MSB,sex=male;weight=41 kg;age=19 Years 8 Months 9 Days;numeric age=19 years,Bernalillo County,relationship,Birth location: Assiniboine Park Zoo,en,PhysicalObject,serum,Serina S. Brady,RIO GRAND,2021-05-02 00:00:00,"North America, United States, New Mexico, Bernalillo County",ICZN,Serina S. Brady,not recorded,accepted,80,"Albuquerque BioPark Zoo, Albuquerque","Albuquerque Biopark Zoo Local ID=M04025, GAN=MIG12-9428102, other identifier=Azeo",http://arctos.database.museum/guid/MSB:Mamm:334822,"[{""scientific_name"":""Panthera uncia"",""nature_of_id"":""relationship"",""accepted_id_fg"":1,""made_date"":""2021-05-02"",""short_citation"":null,""publication_id"":null,""identification_remarks"":null,""idby"":""ABQ BioPark"",""concept_label"":null}]",A,blood sample,http://vertnet.org/resources/norms.html,"Animalia, Chordata, Mammalia, Carnivora, Felidae, Panthera,",14,Google Earth,NA,NA,NA
"Panthera uncia (Schreber, 1775)",-106.663485,35.078382,"gass84,colmano,inmafu",gbif,3125632354,"Panthera uncia (Schreber, 1775)",b15d4952-7d20-46f1-8a3e-556a512b04c5,939ed180-aa7b-11db-8edf-b8a03c50a862,a957a663-2f17-415f-b1c8-5cf6398df8ed,US,DWC_ARCHIVE,2021-12-22T00:55:40.077+00:00,2021-12-22T01:02:30.425+00:00,284,2053a639-84c3-4be5-b8bc-96b6d88a976c,PRESERVED_SPECIMEN,PRESENT,5787213,1,44,359,732,9703,2435237,2435238,2435238,"Uncia uncia (Schreber, 1775)",Animalia,Chordata,Carnivora,Felidae,Uncia,Uncia uncia,Panthera,uncia,SPECIES,SYNONYM,VU,2021-05-02T00:00:00,500,New Mexico,2019,3,21,2019-03-21,2021-11-19T13:33:14.310+00:00,2021-12-22T01:02:30.425+00:00,http://arctos.database.museum/guid/MSB:Mamm:334589,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,NA,http://arctos.database.museum/guid/MSB:Mamm:334589?seid=5066219,NA,NA,3/21/19,NA,http://arctos.database.museum/collection/MSB:Mamm,"Albuquerque BioPark Zoo, Albuquerque",3125632354,http://arctos.database.museum/guid/MSB:Mamm:334589?seid=5066219,NA,MSB:Mamm:334589,"Collector(s): ABQ BioPark; Preparator(s): Museum of Southwestern Biology, Division of Genomic Resources",MSB,2019-03-21,ABQ BioPark,NA,NA,NA,,MALE,MANAGED,NORTH_AMERICA,8827b228-5892-444f-9ce9-f1e1d97ed133,(same individual as) GAN MIG12-9428102,MSB,sex=male;weight=41 kg;age=19 Years 8 Months 9 Days;numeric age=19 years,Bernalillo County,relationship,Birth location: Assiniboine Park Zoo,en,PhysicalObject,serum,Serina S. Brady,RIO GRAND,2021-05-02 00:00:00,"North America, United States, New Mexico, Bernalillo County",ICZN,Serina S. Brady,not recorded,accepted,80,"Albuquerque BioPark Zoo, Albuquerque","Albuquerque Biopark Zoo Local ID=M04025, GAN=MIG12-9428102, other identifier=Azeo",http://arctos.database.museum/guid/MSB:Mamm:334589,"[{""scientific_name"":""Panthera uncia"",""nature_of_id"":""relationship"",""accepted_id_fg"":1,""made_date"":""2021-05-02"",""short_citation"":null,""publication_id"":null,""identification_remarks"":null,""idby"":""ABQ BioPark"",""concept_label"":null}]",A,blood sample,http://vertnet.org/resources/norms.html,"Animalia, Chordata, Mammalia, Carnivora, Felidae, Panthera,",14,Google Earth,NA,NA,NA
"Panthera uncia (Schreber, 1775)",-106.663485,35.078382,"gass84,colmano,inmafu",gbif,3125634341,"Panthera uncia (Schreber, 1775)",b15d4952-7d20-46f1-8a3e-556a512b04c5,939ed180-aa7b-11db-8edf-b8a03c50a862,a957a663-2f17-415f-b1c8-5cf6398df8ed,US,DWC_ARCHIVE,2021-12-22T00:55:40.077+00:00,2021-12-22T01:02:30.365+00:00,284,2053a639-84c3-4be5-b8bc-96b6d88a976c,PRESERVED_SPECIMEN,PRESENT,5787213,1,44,359,732,9703,2435237,2435238,2435238,"Uncia uncia (Schreber, 1775)",Animalia,Chordata,Carnivora,Felidae,Uncia,Uncia uncia,Panthera,uncia,SPECIES,SYNONYM,VU,2021-05-02T00:00:00,500,New Mexico,2019,3,21,2019-03-21,2021-11-19T13:33:10.518+00:00,2021-12-22T01:02:30.365+00:00,http://arctos.database.museum/guid/MSB:Mamm:334685,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,NA,http://arctos.database.museum/guid/MSB:Mamm:334685?seid=5066316,NA,NA,3/21/19,NA,http://arctos.database.museum/collection/MSB:Mamm,"Albuquerque BioPark Zoo, Albuquerque",3125634341,http://arctos.database.museum/guid/MSB:Mamm:334685?seid=5066316,NA,MSB:Mamm:334685,"Collector(s): ABQ BioPark; Preparator(s): Museum of Southwestern Biology, Division of Genomic Resources",MSB,2019-03-21,ABQ BioPark,NA,NA,NA,,MALE,MANAGED,NORTH_AMERICA,8827b228-5892-444f-9ce9-f1e1d97ed133,(same individual as) GAN MIG12-9428102,MSB,sex=male;weight=41 kg;age=19 Years 8 Months 9 Days;numeric age=19 years,Bernalillo County,relationship,Birth location: Assiniboine Park Zoo,en,PhysicalObject,serum,Serina S. Brady,RIO GRAND,2021-05-02 00:00:00,"North America, United States, New Mexico, Bernalillo County",ICZN,Serina S. Brady,not recorded,accepted,80,"Albuquerque BioPark Zoo, Albuquerque","Albuquerque Biopark Zoo Local ID=M04025, GAN=MIG12-9428102, other identifier=Azeo",http://arctos.database.museum/guid/MSB:Mamm:334685,"[{""scientific_name"":""Panthera uncia"",""nature_of_id"":""relationship"",""accepted_id_fg"":1,""made_date"":""2021-05-02"",""short_citation"":null,""publication_id"":null,""identification_remarks"":null,""idby"":""ABQ BioPark"",""concept_label"":null}]",A,blood sample,http://vertnet.org/resources/norms.html,"Animalia, Chordata, Mammalia, Carnivora, Felidae, Panthera,",14,Google Earth,NA,NA,NA
"Panthera uncia (Schreber, 1775)",-106.663485,35.078382,"gass84,colmano,inmafu",gbif,3125635342,"Panthera uncia (Schreber, 1775)",b15d4952-7d20-46f1-8a3e-556a512b04c5,939ed180-aa7b-11db-8edf-b8a03c50a862,a957a663-2f17-415f-b1c8-5cf6398df8ed,US,DWC_ARCHIVE,2021-12-22T00:55:40.077+00:00,2021-12-22T01:02:30.637+00:00,284,2053a639-84c3-4be5-b8bc-96b6d88a976c,PRESERVED_SPECIMEN,PRESENT,5787213,1,44,359,732,9703,2435237,2435238,2435238,"Uncia uncia (Schreber, 1775)",Animalia,Chordata,Carnivora,Felidae,Uncia,Uncia uncia,Panthera,uncia,SPECIES,SYNONYM,VU,2021-05-02T00:00:00,500,New Mexico,2019,3,21,2019-03-21,2021-10-26T17:43:57.919+00:00,2021-12-22T01:02:30.637+00:00,http://arctos.database.museum/guid/MSB:Mamm:334680,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,NA,http://arctos.database.museum/guid/MSB:Mamm:334680?seid=5066311,NA,NA,3/21/19,NA,http://arctos.database.museum/collection/MSB:Mamm,"Albuquerque BioPark Zoo, Albuquerque",3125635342,http://arctos.database.museum/guid/MSB:Mamm:334680?seid=5066311,NA,MSB:Mamm:334680,"Collector(s): ABQ BioPark; Preparator(s): Museum of Southwestern Biology, Division of Genomic Resources",MSB,2019-03-21,ABQ BioPark,NA,NA,NA,,MALE,MANAGED,NORTH_AMERICA,8827b228-5892-444f-9ce9-f1e1d97ed133,(same individual as) GAN MIG12-9428102,MSB,sex=male;weight=41 kg;age=19 Years 8 Months 9 Days;numeric age=19 years,Bernalillo County,relationship,Birth location: Assiniboine Park Zoo,en,PhysicalObject,blood,Serina S. Brady,RIO GRAND,2021-05-02 00:00:00,"North America, United States, New Mexico, Bernalillo County",ICZN,Serina S. Brady,not recorded,accepted,80,"Albuquerque BioPark Zoo, Albuquerque","Albuquerque Biopark Zoo Local ID=M04025, GAN=MIG12-9428102, other identifier=Azeo",http://arctos.database.museum/guid/MSB:Mamm:334680,"[{""scientific_name"":""Panthera uncia"",""nature_of_id"":""relationship"",""accepted_id_fg"":1,""made_date"":""2021-05-02"",""short_citation"":null,""publication_id"":null,""identification_remarks"":null,""idby"":""ABQ BioPark"",""concept_label"":null}]",A,blood sample,http://vertnet.org/resources/norms.html,"Animalia, Chordata, Mammalia, Carnivora, Felidae, Panthera,",14,Google Earth,NA,NA,NA
"Panthera uncia (Schreber, 1775)",-106.663485,35.078382,"gass84,colmano,inmafu",gbif,3125635347,"Panthera uncia (Schreber, 1775)",b15d4952-7d20-46f1-8a3e-556a512b04c5,939ed180-aa7b-11db-8edf-b8a03c50a862,a957a663-2f17-415f-b1c8-5cf6398df8ed,US,DWC_ARCHIVE,2021-12-22T00:55:40.077+00:00,2021-12-22T01:02:30.638+00:00,284,2053a639-84c3-4be5-b8bc-96b6d88a976c,PRESERVED_SPECIMEN,PRESENT,5787213,1,44,359,732,9703,2435237,2435238,2435238,"Uncia uncia (Schreber, 1775)",Animalia,Chordata,Carnivora,Felidae,Uncia,Uncia uncia,Panthera,uncia,SPECIES,SYNONYM,VU,2021-05-02T00:00:00,500,New Mexico,2019,3,21,2019-03-21,2021-11-19T13:33:14.310+00:00,2021-12-22T01:02:30.638+00:00,http://arctos.database.museum/guid/MSB:Mamm:334775,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,NA,http://arctos.database.museum/guid/MSB:Mamm:334775?seid=5066406,NA,NA,3/21/19,NA,http://arctos.database.museum/collection/MSB:Mamm,"Albuquerque BioPark Zoo, Albuquerque",3125635347,http://arctos.database.museum/guid/MSB:Mamm:334775?seid=5066406,NA,MSB:Mamm:334775,"Collector(s): ABQ BioPark; Preparator(s): Museum of Southwestern Biology, Division of Genomic Resources",MSB,2019-03-21,ABQ BioPark,NA,NA,NA,,MALE,MANAGED,NORTH_AMERICA,8827b228-5892-444f-9ce9-f1e1d97ed133,(same individual as) GAN MIG12-9428102,MSB,sex=male;weight=41 kg;age=19 Years 8 Months 9 Days;numeric age=19 years,Bernalillo County,relationship,Birth location: Assiniboine Park Zoo,en,PhysicalObject,serum,Serina S. Brady,RIO GRAND,2021-05-02 00:00:00,"North America, United States, New Mexico, Bernalillo County",ICZN,Serina S. Brady,not recorded,accepted,80,"Albuquerque BioPark Zoo, Albuquerque","Albuquerque Biopark Zoo Local ID=M04025, GAN=MIG12-9428102, other identifier=Azeo",http://arctos.database.museum/guid/MSB:Mamm:334775,"[{""scientific_name"":""Panthera uncia"",""nature_of_id"":""relationship"",""accepted_id_fg"":1,""made_date"":""2021-05-02"",""short_citation"":null,""publication_id"":null,""identification_remarks"":null,""idby"":""ABQ BioPark"",""concept_label"":null}]",A,blood sample,http://vertnet.org/resources/norms.html,"Animalia, Chordata, Mammalia, Carnivora, Felidae, Panthera,",14,Google Earth,NA,NA,NA
"Panthera uncia (Schreber, 1775)",-106.663485,35.078382,"gass84,colmano,inmafu",gbif,3125636339,"Panthera uncia (Schreber, 1775)",b15d4952-7d20-46f1-8a3e-556a512b04c5,939ed180-aa7b-11db-8edf-b8a03c50a862,a957a663-2f17-415f-b1c8-5cf6398df8ed,US,DWC_ARCHIVE,2021-12-22T00:55:40.077+00:00,2021-12-22T01:02:30.606+00:00,284,2053a639-84c3-4be5-b8bc-96b6d88a976c,PRESERVED_SPECIMEN,PRESENT,5787213,1,44,359,732,9703,2435237,2435238,2435238,"Uncia uncia (Schreber, 1775)",Animalia,Chordata,Carnivora,Felidae,Uncia,Uncia uncia,Panthera,uncia,SPECIES,SYNONYM,VU,2021-05-02T00:00:00,500,New Mexico,2019,3,21,2019-03-21,2021-11-19T13:33:10.518+00:00,2021-12-22T01:02:30.606+00:00,http://arctos.database.museum/guid/MSB:Mamm:334683,http://creativecommons.org/publicdomain/zero/1.0/legalcode,FALSE,WGS84,Mammalia,US,United States of America,NA,http://arctos.database.museum/guid/MSB:Mamm:334683?seid=5066314,NA,NA,3/21/19,NA,http://arctos.database.museum/collection/MSB:Mamm,"Albuquerque BioPark Zoo, Albuquerque",3125636339,http://arctos.database.museum/guid/MSB:Mamm:334683?seid=5066314,NA,MSB:Mamm:334683,"Collector(s): ABQ BioPark; Preparator(s): Museum of Southwestern Biology, Division of Genomic Resources",MSB,2019-03-21,ABQ BioPark,NA,NA,NA,,MALE,MANAGED,NORTH_AMERICA,8827b228-5892-444f-9ce9-f1e1d97ed133,(same individual as) GAN MIG12-9428102,MSB,sex=male;weight=41 kg;age=19 Years 8 Months 9 Days;numeric age=19 years,Bernalillo County,relationship,Birth location: Assiniboine Park Zoo,en,PhysicalObject,serum,Serina S. Brady,RIO GRAND,2021-05-02 00:00:00,"North America, United States, New Mexico, Bernalillo County",ICZN,Serina S. Brady,not recorded,accepted,80,"Albuquerque BioPark Zoo, Albuquerque","Albuquerque Biopark Zoo Local ID=M04025, GAN=MIG12-9428102, other identifier=Azeo",http://arctos.database.museum/guid/MSB:Mamm:334683,"[{""scientific_name"":""Panthera uncia"",""nature_of_id"":""relationship"",""accepted_id_fg"":1,""made_date"":""2021-05-02"",""short_citation"":null,""publication_id"":null,""identification_remarks"":null,""idby"":""ABQ BioPark"",""concept_label"":null}]",A,blood sample,http://vertnet.org/resources/norms.html,"Animalia, Chordata, Mammalia, Carnivora, Felidae, Panthera,",14,Google Earth,NA,NA,NA
